Collection Date,Host Name,Individual Sandwiches,Group Collections
2022-09-21,Groups - Main,1500,
2022-09-28,Alpharetta,1009,
2022-09-28,Dunwoody PTC,1373,
2022-09-28,E Cobb Roswell,1009,
2022-09-28,Decatur,334,
2022-09-28,Peachtree Corners,374,
2022-09-28,Sandy Springs,245,
2022-09-28,Intown Druid Hills,389,
2022-09-28,Snellville,140,
2022-09-28,Groups,1320,
2022-09-28,Flowery Branch,100,
2022-09-28,Groups - Main,1320,
2022-10-05,Alpharetta,1058,
2022-10-05,Dunwoody PTC,1417,
2022-10-05,E Cobb Roswell,1215,
2022-10-05,Decatur,394,
2022-10-05,Peachtree Corners,226,
2022-10-05,Sandy Springs,96,
2022-10-05,Intown Druid Hills,534,
2022-10-05,Snellville,201,
2022-10-05,Groups,2079,
2022-10-05,Flowery Branch,75,
2022-10-05,Groups - Main,2079,
2022-10-12,Alpharetta,1161,
2022-10-12,Dunwoody PTC,1579,
2022-10-12,E Cobb Roswell,1078,
2022-10-12,Decatur,136,
2022-10-12,Peachtree Corners,322,
2022-10-12,Sandy Springs,390,
2022-10-12,Intown Druid Hills,360,
2022-10-12,Snellville,158,
2022-10-12,Groups,653,
2022-10-12,Flowery Branch,200,
2022-10-12,Groups - Main,653,
2022-10-19,Alpharetta,1097,
2022-10-19,Dunwoody PTC,1317,
2022-10-19,E Cobb Roswell,1250,
2022-10-19,Decatur,194,
2022-10-19,Peachtree Corners,468,
2022-10-19,Sandy Springs,615,
2022-10-19,Intown Druid Hills,460,
2022-10-19,Snellville,162,
2022-10-19,Groups,2363,
2022-10-19,Flowery Branch,191,
2022-10-19,Groups - Main,2363,
2022-10-26,Alpharetta,963,
2022-10-26,Dunwoody PTC,1414,
2022-10-26,E Cobb Roswell,852,
2022-10-26,Decatur,353,
2022-10-26,Peachtree Corners,257,
2022-10-26,Sandy Springs,1106,
2022-10-26,Intown Druid Hills,760,
2022-10-26,Snellville,158,
2022-10-26,Groups,1167,
2022-10-26,Flowery Branch,293,
2022-10-26,Groups - Main,1167,
2022-11-02,Alpharetta,783,
2022-11-02,Dunwoody PTC,2150,
2022-11-02,E Cobb Roswell,1149,
2022-11-02,Decatur,267,
2022-11-02,Peachtree Corners,190,
2022-11-02,Sandy Springs,688,
2022-11-02,Intown Druid Hills,567,
2022-11-02,Snellville,105,
2022-11-02,Groups,2437,
2022-11-02,Flowery Branch,387,
2022-11-02,Groups - Main,2437,
2022-11-09,Alpharetta,1939,
2022-11-09,Dunwoody PTC,2705,
2022-11-09,E Cobb Roswell,2101,
2022-11-09,Decatur,154,
2022-11-09,Peachtree Corners,347,
2022-11-09,Sandy Springs,644,
2022-11-09,Intown Druid Hills,816,
2022-11-09,Snellville,105,
2022-11-09,Groups,5030,
2022-11-09,Flowery Branch,324,
2022-11-09,Groups - Main,5030,
2022-11-16,Alpharetta,2897,
2022-11-16,Dunwoody PTC,1621,
2022-11-16,E Cobb Roswell,2098,
2022-11-16,Decatur,625,
2022-11-16,Peachtree Corners,324,
2022-11-16,Sandy Springs,3594,
2022-11-16,Intown Druid Hills,950,
2022-11-16,Snellville,142,
2022-11-16,Groups,10728,
2022-11-16,Flowery Branch,393,
2022-11-16,Groups - Main,10728,
2022-11-30,Alpharetta,1543,
2022-11-30,Dunwoody PTC,1156,
2022-11-30,E Cobb Roswell,1497,
2022-11-30,Decatur,248,
2022-11-30,Peachtree Corners,347,
2022-11-30,Sandy Springs,948,
2022-11-30,Intown Druid Hills,363,
2022-11-30,Snellville,200,
2022-11-30,Groups,4652,
2022-11-30,Flowery Branch,431,
2022-11-30,Groups - Main,4652,
2022-12-07,Alpharetta,1134,
2022-12-07,Dunwoody PTC,1238,
2022-12-07,E Cobb Roswell,1826,
2022-12-07,Decatur,150,
2022-12-07,Peachtree Corners,410,
2022-12-07,Sandy Springs,517,
2022-12-07,Intown Druid Hills,487,
2022-12-07,Snellville,100,
2022-12-07,Groups,2722,
2022-12-07,Flowery Branch,247,
2022-12-07,Groups - Main,2722,
2022-12-14,Alpharetta,1471,
2022-12-14,Dunwoody PTC,2186,
2022-12-14,E Cobb Roswell,1690,
2022-12-14,Decatur,233,
2022-12-14,Peachtree Corners,530,
2022-12-14,Sandy Springs,560,
2022-12-14,Intown Druid Hills,235,
2022-12-14,Snellville,136,
2022-12-14,Flowery Branch,301,
2022-12-21,Alpharetta,493,
2022-12-21,Dunwoody PTC,1204,
2022-12-21,E Cobb Roswell,1856,
2022-12-21,Peachtree Corners,321,
2022-12-21,Sandy Springs,184,
2022-12-21,Intown Druid Hills,300,
2022-12-21,Snellville,210,
2022-12-21,Groups,4000,
2022-12-21,Groups - Main,4000,
2022-12-28,Alpharetta,799,
2022-12-28,Dunwoody PTC,888,
2022-12-28,E Cobb Roswell,1411,
2022-12-28,Peachtree Corners,140,
2022-12-28,Sandy Springs,40,
2022-12-28,Intown Druid Hills,40,
2022-12-28,Groups,100,
2022-12-28,Flowery Branch,247,
2022-12-28,Groups - Main,100,
2023-01-04,Alpharetta,818,
2023-01-04,Dunwoody PTC,1326,
2023-01-04,E Cobb Roswell,1204,
2023-01-04,Decatur,161,
2023-01-04,Peachtree Corners,263,
2023-01-04,Sandy Springs,250,
2023-01-04,Intown Druid Hills,206,
2023-01-04,Snellville,106,
2023-01-04,Flowery Branch,412,
2023-01-11,Alpharetta,888,
2023-01-11,Dunwoody PTC,1422,
2023-01-11,E Cobb Roswell,650,
2023-01-11,Decatur,622,
2023-01-11,Peachtree Corners,444,
2023-01-11,Sandy Springs,514,
2023-01-11,Intown Druid Hills,152,
2023-01-11,Snellville,151,
2023-01-11,Flowery Branch,291,
2023-01-18,Alpharetta,908,
2023-01-18,Dunwoody PTC,1243,
2023-01-18,E Cobb Roswell,1614,
2023-01-18,Decatur,465,
2023-01-18,Peachtree Corners,290,
2023-01-18,Sandy Springs,603,
2023-01-18,Intown Druid Hills,627,
2023-01-18,Snellville,148,
2023-01-18,Flowery Branch,490,
2023-01-25,Alpharetta,1025,
2023-01-25,Dunwoody PTC,2023,
2023-01-25,E Cobb Roswell,1465,
2023-01-25,Decatur,345,
2023-01-25,Peachtree Corners,514,
2023-01-25,Sandy Springs,710,
2023-01-25,Intown Druid Hills,605,
2023-01-25,Snellville,166,
2023-01-25,Flowery Branch,300,
2023-02-01,Alpharetta,1471,
2023-02-01,Dunwoody PTC,1461,
2023-02-01,E Cobb Roswell,2096,
2023-02-01,Decatur,230,
2023-02-01,Peachtree Corners,496,
2023-02-01,Sandy Springs,988,
2023-02-01,Intown Druid Hills,762,
2023-02-01,Snellville,183,
2023-02-01,Groups,2998,
2023-02-01,Flowery Branch,219,
2023-02-01,Groups - Main,2998,
2023-02-08,Alpharetta,1889,
2023-02-08,Dunwoody PTC,1488,
2023-02-08,E Cobb Roswell,872,
2023-02-08,Decatur,140,
2023-02-08,Sandy Springs,531,
2023-02-08,Intown Druid Hills,1176,
2023-02-08,Snellville,187,
2023-02-15,Alpharetta,2637,
