Week_Number,Date,Total_Sandwiches,Loc_Column,Loc_ALPHARETTA,Loc_DUNWOODY/PTC,Loc_E,Loc_DECATUR,Loc_P'TREE,Loc_UGA/Athens,Loc_SANDY,Loc_INTOWN,Loc_SNELLVILLE,Loc_FLOWERY,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8
205,2024-04-10 00:00:00,10859,0,954,1588,0,102,0,0,1038,2640,0,250,0,0,0,0,0,0,0,4287
206,2024-04-17 00:00:00,10276,0,1229,2750,968,0,0,0,609,2668,0,0,0,0,0,0,0,0,0,2052
207,2024-05-01 00:00:00,10026,0,1057,2174,1777,112,0,0,1282,968,0,274,0,0,0,0,0,0,0,2382
208,2024-05-08 00:00:00,7815,0,1405,1944,916,72,0,0,1168,507,0,244,0,0,0,0,0,0,0,1559
209,2024-05-15 00:00:00,9254,0,1355,2477,1259,92,0,0,581,673,0,484,0,0,0,0,0,0,0,2333
210,2024-05-22 00:00:00,5628,0,848,2341,582,0,0,0,644,533,0,278,0,0,0,0,0,0,0,402
211,2024-05-28 00:00:00,5571,0,584,1740,852,0,0,0,828,511,0,250,0,0,0,0,0,0,0,806
212,2024-06-05 00:00:00,6979,0,1569,1552,1436,159,0,0,721,707,0,735,0,0,0,0,0,0,0,100
213,2024-06-12 00:00:00,10580,0,2135,2400,2323,72,0,0,690,751,0,125,0,0,0,0,0,0,0,2084
214,2024-06-19 00:00:00,8527,0,1218,1980,1695,74,0,0,1088,586,0,454,0,0,0,0,0,0,0,1432
215,2024-06-26 00:00:00,8987,0,1198,1272,1715,0,0,0,789,766,0,275,0,0,0,0,0,0,0,2972
216,2024-07-10 00:00:00,9810,0,1134,1681,2170,0,0,0,583,784,0,426,0,0,0,0,0,0,0,3032
217,2024-07-17 00:00:00,11526,0,3333,1513,1820,101,0,0,632,1425,0,226,0,0,0,0,0,0,0,2476
218,2024-07-24 00:00:00,9588,0,871,1989,1962,54,0,0,889,932,0,191,0,0,0,0,0,0,0,2700
219,2024-07-31 00:00:00,9917,0,2154,1460,1499,162,0,0,890,1607,0,132,0,0,0,0,0,0,0,2013
220,2024-08-07 00:00:00,10953,0,1704,1012,1455,54,0,0,1074,428,0,226,0,0,0,0,0,0,0,5000
221,2024-08-14 00:00:00,6132,0,1074,2154,1347,54,0,0,356,547,0,150,0,0,0,0,0,0,0,450
222,2024-08-21 00:00:00,7711,0,1018,1698,1327,0,0,0,445,722,0,175,0,0,0,0,0,0,0,2326
223,2024-08-28 00:00:00,6273,0,1766,1322,1290,54,0,0,545,846,0,250,0,0,0,0,0,0,0,200
224,2024-09-04 00:00:00,6211,0,1210,1184,1148,54,0,0,434,567,0,214,0,0,0,0,0,0,0,1400
225,2024-09-11 00:00:00,8608,0,875,1143,1133,54,0,0,721,1059,0,223,0,0,0,0,0,0,0,3400
