ID,Host Name,Individual Sandwiches,Collection Date,Group Collections,Submitted At
2606,"Groups - Main",0,"2024-10-23","[{"groupName":"Unnamed Groups","sandwichCount":4279}]","6/8/2025, 1:05:53 PM"
2605,"Flowery Branch",503,"2024-10-23","[]","6/8/2025, 1:05:53 PM"
2600,"Alpharetta",618,"2024-10-23","[]","6/8/2025, 1:05:53 PM"
2601,"Dunwoody/PTC",1774,"2024-10-23","[]","6/8/2025, 1:05:53 PM"
2597,"Intown/Druid Hills",1296,"2024-10-16","[]","6/8/2025, 1:05:52 PM"
2599,"Groups - Main",0,"2024-10-16","[{"groupName":"Unnamed Groups","sandwichCount":3746}]","6/8/2025, 1:05:53 PM"
2596,"Sandy Springs",431,"2024-10-16","[]","6/8/2025, 1:05:52 PM"
2594,"East Cobb/Roswell",1332,"2024-10-16","[]","6/8/2025, 1:05:52 PM"
2595,"Decatur",119,"2024-10-16","[]","6/8/2025, 1:05:52 PM"
2593,"Dunwoody/PTC",1377,"2024-10-16","[]","6/8/2025, 1:05:52 PM"
2592,"Alpharetta",1032,"2024-10-16","[]","6/8/2025, 1:05:52 PM"
2598,"Flowery Branch",200,"2024-10-16","[]","6/8/2025, 1:05:53 PM"
2590,"Flowery Branch",260,"2024-10-09","[]","6/8/2025, 1:05:52 PM"
2584,"Alpharetta",1493,"2024-10-09","[]","6/8/2025, 1:05:52 PM"
2589,"Intown/Druid Hills",555,"2024-10-09","[]","6/8/2025, 1:05:52 PM"
2587,"Decatur",54,"2024-10-09","[]","6/8/2025, 1:05:52 PM"
2586,"East Cobb/Roswell",919,"2024-10-09","[]","6/8/2025, 1:05:52 PM"
2588,"Sandy Springs",344,"2024-10-09","[]","6/8/2025, 1:05:52 PM"
2591,"Groups - Main",0,"2024-10-09","[{"groupName":"Unnamed Groups","sandwichCount":1900}]","6/8/2025, 1:05:52 PM"
2585,"Dunwoody/PTC",1284,"2024-10-09","[]","6/8/2025, 1:05:52 PM"
2583,"Groups - Main",0,"2024-10-02","[{"groupName":"Unnamed Groups","sandwichCount":14023}]","6/8/2025, 1:05:51 PM"
2581,"Flowery Branch",545,"2024-09-25","[]","6/8/2025, 1:05:51 PM"
2578,"East Cobb/Roswell",989,"2024-09-25","[]","6/8/2025, 1:05:51 PM"
2579,"Sandy Springs",510,"2024-09-25","[]","6/8/2025, 1:05:51 PM"
2576,"Alpharetta",1946,"2024-09-25","[]","6/8/2025, 1:05:51 PM"
2582,"Groups - Main",0,"2024-09-25","[{"groupName":"Unnamed Groups","sandwichCount":5650}]","6/8/2025, 1:05:51 PM"
2580,"Intown/Druid Hills",791,"2024-09-25","[]","6/8/2025, 1:05:51 PM"
2577,"Dunwoody/PTC",1836,"2024-09-25","[]","6/8/2025, 1:05:51 PM"
2572,"Sandy Springs",747,"2024-09-18","[]","6/8/2025, 1:05:51 PM"
