# Sandwich Collections Report
# Generated: 6/30/2025, 4:52:20 AM
# Date Range: Jan 01, 2024 - Dec 31, 2024
# Total Records: 357

# EXECUTIVE SUMMARY
Total Sandwiches,295376
Total Hosts,0
Active Projects,0

# TOP PERFORMERS
Name,Count
"Dunwoody/PTC",80330
"Alpharetta",66595
"East Cobb/Roswell",60996
"Intown/Druid Hills",40786
"Sandy Springs",30560

# DETAILED DATA
id,date,hostName,individualSandwiches,groupCollections,submittedAt
"2519","2024-07-31","Flowery Branch","132","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2517","2024-07-31","Sandy Springs","890","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2518","2024-07-31","Intown/Druid Hills","1607","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2514","2024-07-31","Dunwoody/PTC","1460","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2513","2024-07-31","Alpharetta","2154","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2515","2024-07-31","East Cobb/Roswell","1499","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2506","2024-07-24","Dunwoody/PTC","1989","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2505","2024-07-24","Alpharetta","871","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2510","2024-07-24","Intown/Druid Hills","932","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2507","2024-07-24","East Cobb/Roswell","1962","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2508","2024-07-24","Decatur","54","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2509","2024-07-24","Sandy Springs","889","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2512","2024-07-24","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":2700}]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2511","2024-07-24","Flowery Branch","191","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2501","2024-07-17","Sandy Springs","632","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2502","2024-07-17","Intown/Druid Hills","1425","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2497","2024-07-17","Alpharetta","3333","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2498","2024-07-17","Dunwoody/PTC","1513","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2500","2024-07-17","Decatur","101","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2504","2024-07-17","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":2476}]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2499","2024-07-17","East Cobb/Roswell","1820","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2503","2024-07-17","Flowery Branch","226","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2492","2024-07-10","East Cobb/Roswell","2170","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2491","2024-07-10","Dunwoody/PTC","1681","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2493","2024-07-10","Sandy Springs","583","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2496","2024-07-10","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":3032}]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2490","2024-07-10","Alpharetta","1134","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2494","2024-07-10","Intown/Druid Hills","784","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2495","2024-07-10","Flowery Branch","426","[]","Sun Jun 08 2025 17:05:45 GMT+0000 (Coordinated Universal Time)"
"2483","2024-06-26","Alpharetta","1198","[]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2489","2024-06-26","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":2972}]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2484","2024-06-26","Dunwoody/PTC","1272","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2486","2024-06-26","Sandy Springs","789","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2485","2024-06-26","East Cobb/Roswell","1715","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2487","2024-06-26","Intown/Druid Hills","766","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2488","2024-06-26","Flowery Branch","275","[]","Sun Jun 08 2025 17:05:44 GMT+0000 (Coordinated Universal Time)"
"2479","2024-06-19","Sandy Springs","1088","[]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2476","2024-06-19","Dunwoody/PTC","1980","[]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2475","2024-06-19","Alpharetta","1218","[]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2480","2024-06-19","Intown/Druid Hills","586","[]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2477","2024-06-19","East Cobb/Roswell","1695","[]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2482","2024-06-19","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":1432}]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2481","2024-06-19","Flowery Branch","454","[]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2478","2024-06-19","Decatur","74","[]","Sun Jun 08 2025 17:05:43 GMT+0000 (Coordinated Universal Time)"
"2468","2024-06-12","Dunwoody/PTC","2400","[]","Sun Jun 08 2025 17:05:42 GMT+0000 (Coordinated Universal Time)"
"2467","2024-06-12","Alpharetta","2135","[]","Sun Jun 08 2025 17:05:42 GMT+0000 (Coordinated Universal Time)"
"2470","2024-06-12","Decatur","72","[]","Sun Jun 08 2025 17:05:42 GMT+0000 (Coordinated Universal Time)"
